route_id,latitude,longitude,speed,timestamp,id,direction,agency_name,agency_id,route_short_name,tip_id,trip_headsign
561,-34.57755,-58.5462456,0,1683659504,8409,1,EXPRESO GENERAL SARMIENTO S.A.,65,176Ñ,37046-1,a Retiro
2075,-34.35815,-58.79646,12.5,1683659504,8411,0,LA NUEVA METROPOL S.A.,9,194G,146811-1,a Zarate
2082,-34.60038,-58.40434,0.555555,1683659504,8412,1,LA NUEVA METROPOL S.A.,9,194H,147219-1,a Expreso - Pza. Miserere
1714,-34.22159,-58.9223747,23.8888874,1683659504,8416,1,LA NUEVA METROPOL S.A.,9,194E,114650-1,Expreso - Pza. Miserere
559,-34.57774,-58.53524,0,1683659504,8417,1,EXPRESO GENERAL SARMIENTO S.A.,65,176N,37017-1,a Chacarita
2085,-34.39475,-58.7401,6.944444,1683659504,8420,0,LA NUEVA METROPOL S.A.,9,194A,147320-1,a Zarate x RP 6
2082,-34.57668,-58.4317551,7.222222,1683659504,8430,1,LA NUEVA METROPOL S.A.,9,194H,147222-1,a Expreso - Pza. Miserere
1716,-34.54325,-58.47334,5.833333,1683659504,8434,1,LA NUEVA METROPOL S.A.,9,194F,114741-1,a Expreso - Pza. Miserere
2081,-34.58711,-58.4128,0,1683659504,8446,0,LA NUEVA METROPOL S.A.,9,194H,147061-1,a Est. Escobar
100,-34.59342,-58.374115,0,1683659504,8468,1,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10379-1,a Retiro x J.M. Moreno
99,-34.59579,-58.3924255,0,1683659504,8469,0,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10058-1,A - a Olivos
100,-34.59552,-58.39772,0,1683659504,8473,1,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10381-1,a Retiro x J.M. Moreno
100,-34.53654,-58.4771,11.9444437,1683659504,8474,1,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10394-1,a Retiro x J.M. Moreno
100,-34.58424,-58.4172745,4.722222,1683659504,8475,1,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10388-1,a Retiro x J.M. Moreno
99,-34.59505,-58.378006,0,1683659504,8476,0,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10061-1,A - a Olivos
100,-34.53706,-58.4768,13.333333,1683659504,8477,1,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10394-1,a Retiro x J.M. Moreno
100,-34.5887,-58.41076,0,1683659504,8478,1,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10385-1,a Retiro x J.M. Moreno
1737,-34.59129,-58.37406,1.111111,1683659504,8480,0,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152B,116806-1,B - a Est. Mitre
